Tempo (s),Posicao X,Posicao Y
18.651966666666667,271,591
18.66865,266,591
18.685333333333332,260,591
18.70201666666667,256,592
18.718700000000002,250,591
18.735383333333335,245,591
18.752066666666668,240,591
18.76875,235,591
18.785433333333334,230,591
18.802116666666667,225,591
18.8188,220,591
18.835483333333332,216,590
18.85216666666667,212,590
18.868850000000002,208,589
18.885533333333335,204,589
18.902216666666668,201,589
18.9189,197,588
18.935583333333334,195,588
18.952266666666667,192,588
18.96895,190,587
18.985633333333332,188,587
19.00231666666667,186,586
19.019000000000002,185,586
19.035683333333335,185,587
19.052366666666668,184,587
19.06905,184,587
19.085733333333334,184,587
19.102416666666667,185,587
19.1191,185,586
19.135783333333332,187,586
19.152466666666665,188,587
19.169150000000002,190,587
19.185833333333335,192,587
19.202516666666668,195,587
19.2192,197,587
19.235883333333334,201,587
19.252566666666667,204,588
19.26925,208,588
19.285933333333336,212,588
19.30261666666667,216,588
19.319300000000002,220,589
19.335983333333335,225,589
19.352666666666668,230,589
19.36935,235,589
19.386033333333334,240,590
19.402716666666667,232,589
19.4194,251,590
19.436083333333332,242,590
19.45276666666667,247,590
19.469450000000002,253,590
19.486133333333335,258,590
19.502816666666668,263,590
19.5195,269,590
19.536183333333334,274,588
19.552866666666667,279,589
19.56955,283,588
19.586233333333332,288,589
19.60291666666667,292,587
19.619600000000002,296,587
19.636283333333335,300,587
19.652966666666668,304,587
19.66965,308,587
19.686333333333334,312,586
19.703016666666667,314,586
19.7197,317,585
19.736383333333336,320,585
19.75306666666667,322,585
19.769750000000002,324,585
19.786433333333335,326,585
19.803116666666668,327,584
19.8198,328,584
19.836483333333334,328,584
19.853166666666667,329,584
19.86985,328,584
19.886533333333336,328,584
19.903216666666673,327,584
19.919900000000002,326,584
19.936583333333335,324,585
19.953266666666668,323,585
19.96995,320,585
19.986633333333334,318,586
20.003316666666667,315,586
20.02,312,586
20.036683333333336,309,587
20.05336666666667,305,587
20.070050000000002,302,588
20.086733333333335,298,588
20.103416666666668,294,588
20.1201,290,589
20.136783333333334,285,589
20.153466666666667,281,590
20.17015,276,589
20.186833333333336,271,590
20.20351666666667,266,590
20.220200000000002,261,590
20.236883333333335,256,590
20.253566666666668,252,590
20.27025,247,590
20.286933333333334,242,590
20.303616666666667,237,590
20.3203,232,590
20.336983333333336,227,589
20.35366666666667,223,589
20.370350000000002,218,588
20.387033333333335,214,589
20.403716666666668,210,588
20.4204,206,588
20.437083333333334,203,587
20.453766666666667,199,587
20.47045,196,586
20.487133333333336,194,587
20.50381666666667,191,586
20.520500000000002,189,586
20.537183333333335,187,586
20.553866666666668,185,586
20.57055,184,586
20.587233333333334,183,586
20.603916666666667,183,585
20.6206,182,585
20.637283333333336,183,586
20.65396666666667,183,586
20.670650000000002,184,586
20.687333333333335,185,586
20.704016666666668,187,586
20.7207,188,586
20.737383333333334,190,587
20.754066666666667,193,587
20.77075,196,587
20.787433333333333,198,588
20.80411666666667,202,588
20.820800000000002,205,589
20.837483333333335,209,589
20.854166666666668,213,590
20.87085,217,590
20.887533333333334,221,590
20.904216666666667,226,590
20.920899999999996,230,591
20.937583333333336,236,591
20.95426666666667,241,591
20.970950000000002,246,591
20.987633333333335,251,592
21.004316666666668,256,591
21.021,261,591
21.037683333333334,266,591
21.054366666666667,271,593
21.07105,277,591
21.087733333333336,282,592
21.10441666666667,287,590
21.121100000000002,292,592
21.137783333333335,297,590
21.154466666666668,302,590
21.17115,306,589
21.187833333333334,310,590
21.204516666666667,314,588
21.2212,319,587
21.237883333333336,322,587
21.25456666666667,326,587
21.271250000000002,329,587
21.287933333333335,331,587
21.304616666666668,334,587
21.3213,336,587
21.337983333333334,338,586
21.354666666666667,339,586
21.37135,340,586
21.388033333333336,341,585
21.40471666666667,341,585
21.421400000000002,341,585
21.438083333333335,341,585
21.454766666666668,340,585
21.47145,339,585
21.488133333333334,337,587
21.504816666666667,336,586
21.5215,334,585
21.538183333333333,331,587
21.55486666666667,329,588
21.571550000000002,326,586
21.588233333333335,323,588
21.604916666666668,319,589
21.6216,316,589
21.638283333333334,312,588
21.654966666666667,308,590
21.671650000000003,303,589
21.688333333333336,299,590
21.70501666666667,295,589
21.721700000000002,290,591
21.738383333333335,285,591
21.755066666666668,280,591
21.77175,275,590
21.788433333333334,270,591
21.805116666666667,265,591
21.8218,260,591
21.838483333333336,256,590
21.85516666666667,251,591
21.871850000000002,246,590
21.888533333333335,242,591
21.905216666666668,238,589
21.9219,233,590
21.938583333333334,229,590
21.955266666666667,225,589
21.97195,222,589
21.988633333333336,218,589
22.00531666666667,215,588
22.022000000000002,212,588
22.038683333333335,209,588
22.055366666666668,207,587
22.07205,205,587
22.088733333333334,203,587
22.105416666666667,202,587
22.1221,200,587
22.138783333333336,200,587
22.15546666666667,199,587
22.172150000000002,199,587
22.188833333333335,198,587
22.205516666666668,199,587
22.2222,200,587
22.238883333333334,202,587
22.255566666666667,203,587
22.27225,204,588
